metric_0,metric_1,metric_2,metric_3
9.09520117496139,8.618810258842775,5.177126015071508,9.000412437570526
11.237799461516639,5.579293652410168,1.0901776915889947,14.00369786024099
9.208429967225115,7.9938101082236415,12.656083972169785,12.424803352246972
11.42044497145519,12.445159312043064,12.620031130437523,10.525415275531907
9.392877895966214,7.805581474449638,7.568870807719776,7.375664592309349
12.218072610555359,10.434059312562,12.893049710959332,9.562188614989255
11.57219951819418,10.108340420526032,8.71236729569421,10.183481305528089
10.02285396581388,10.7227421872915,10.251751471067449,10.441339105352856
8.639123664718417,9.242159653270562,9.072745400429502,7.428191190599754
11.147432728912896,10.843148011582173,10.697750103815235,12.223930177435633
